gene,source,n_carriers,esm_lr_auroc,frozen_lr_auroc,ft_lr_auroc,is_causal,delta_ft_minus_esm
GyrA,chromosomal,772,0.8972302824452092,0.9195627235306024,0.986466323263678,True,0.08923604081846881
ParC,chromosomal,754,0.8933726222342189,0.9316493090701876,0.982777365394276,True,0.08940474316005709
lpoA,bakta_nonamr,772,0.8848983443644838,0.8777949682546815,0.977967657651296,False,0.09306931328681223
gatC,bakta_nonamr,766,0.8846640260382228,0.858176425650474,0.976780016819562,False,0.09211599078133914
bcsC,bakta_nonamr,770,0.8788510056428989,0.8626220541692613,0.9715640266801908,False,0.09271302103729195
comEC,bakta_nonamr,760,0.8741871079982796,0.8818168978821475,0.9736632620962824,False,0.09947615409800281
entF,bakta_nonamr,767,0.873477733339325,0.8425733929935612,0.9757945959132316,False,0.1023168625739066
sbcB,bakta_nonamr,770,0.8718535542559269,0.8363655622676878,0.9731753664032458,False,0.10132181214731883
paaH,bakta_nonamr,772,0.8713367700021186,0.8766651045444916,0.9671312375217468,False,0.09579446751962817
hpxE,bakta_nonamr,771,0.8711730681577445,0.8420919169806961,0.9678791302617304,False,0.09670606210398591
hrpB,bakta_nonamr,770,0.8709515891918264,0.8776890435318512,0.9776242047621188,False,0.1066726155702924
gspL,bakta_nonamr,762,0.8685987764089593,0.8683066809611545,0.9736343735355104,False,0.10503559712655108
ccmI,bakta_nonamr,765,0.8681686578374666,0.8155657985119181,0.965086569387113,False,0.09691791154964646
pqqF,bakta_nonamr,765,0.8678669328694046,0.8515127976324219,0.9733775863286492,False,0.1055106534592446
polB,bakta_nonamr,768,0.8666696625174134,0.8558813899891509,0.9710889703474972,False,0.1044193078300838
rbbA,bakta_nonamr,768,0.8656264644895392,0.8247138427563538,0.9735412881730232,False,0.10791482368348404
tssM,bakta_nonamr,625,0.8642654922931741,0.8460207612456749,0.9292454949894396,False,0.06498000269626558
OmpK36,chromosomal,765,0.8244483433430057,0.8995771194637514,0.9827923611579727,False,0.1583440178149671
OmpK35,chromosomal,764,0.8113345479901927,0.8894737236730624,0.9784435896859136,False,0.16710904169572094
AAC(6'),acquired,364,0.766669665819406,0.7647727017117664,0.80524626792931,False,0.03857660210990399
PmrB,chromosomal,772,0.7610987396060613,0.8792691064774202,0.9809178906958784,False,0.2198191510898171
SHV-OKP-LEN,acquired,724,0.7534996363527303,0.8408574577681805,0.9689887606751092,False,0.21548912432237888
CTX-M,acquired,371,0.7167112790636645,0.700429628629912,0.7847658036604659,False,0.06805452459680139
OXA,acquired,308,0.7148742980108118,0.7137833562018729,0.7556327837385938,False,0.04075848572778196
Sul,acquired,386,0.7080174850604705,0.723211942626208,0.8028619415015258,False,0.09484445644105532
ANT(3''),acquired,236,0.6532717007445397,0.6420023843264276,0.6857975122028027,False,0.032525811458263054
Cat,acquired,203,0.6520345502395573,0.6579128896086855,0.6694033935413245,False,0.017368843301767245
Dfr,acquired,250,0.6415412645927525,0.6502500543596433,0.6874920335005361,False,0.0459507689077836
KPC,acquired,175,0.6330199218720711,0.6365964115137474,0.6524206911547488,False,0.019400769282677643
MphA,acquired,195,0.6280038389155064,0.6317565287806195,0.6592812530460145,False,0.03127741413050811
Mrx,acquired,190,0.6212370005473454,0.6277714045782066,0.6489416739771015,False,0.02770467342975602
TEM,acquired,302,0.618848925178637,0.6329749345809809,0.7258999332688516,False,0.10705100809021462
StrB,acquired,249,0.5997068328197284,0.6127456493540574,0.6700369645575125,False,0.07033013173778413
StrA,acquired,243,0.5950431503100374,0.6192575597393734,0.677527348524042,False,0.08248419821400454
AAC(3),acquired,202,0.5887786700257176,0.5894384836283749,0.6414775325970413,False,0.052698862571323724
APH(3'),acquired,149,0.5886587039161437,0.5998905309250137,0.6188826656469547,False,0.03022396173081099
QnrB,acquired,182,0.5821317977671309,0.5785328144799095,0.5947582307997991,True,0.012626433032668194
TetA,acquired,166,0.5526013901072947,0.5495197606676114,0.593011224329127,False,0.04040983422183231
NDM,acquired,50,0.5397987568511895,0.539690037564388,0.5400799274205037,False,0.00028117056931420414
Arr,acquired,51,0.5323458622939019,0.5308050475740603,0.5369608085715785,False,0.004614946277676557
ArmA,acquired,56,0.5283344955050198,0.523475868067271,0.5334105615163716,False,0.005076066011351799
MphE,acquired,45,0.520956579766216,0.5200530850034866,0.5194944928057823,False,-0.0014620869604337061
CmlA,acquired,40,0.519606961033508,0.5179499291450166,0.5255452834574232,False,0.005938322423915232
MsrE,acquired,45,0.519408267164526,0.5200980722945767,0.5182385975961791,False,-0.001169669568346965
QnrS,acquired,47,0.5144296736172032,0.5025755224149178,0.5041688223076981,True,-0.010260851309505048
APH(4),acquired,19,0.5090836838593097,0.5091474158550209,0.5095448035929849,False,0.0004611197336752415
TetD,acquired,76,0.5087837685853747,0.512641428796365,0.5608977963725248,False,0.05211402778715013
RmtF,acquired,9,0.5053459897578934,0.5073029369203199,0.5073029369203199,False,0.001956947162426559
CMY,acquired,10,0.5052222747073951,0.4970420856108149,0.495257589730901,False,-0.00996468497649411
ANT(2''),acquired,20,0.4994751482706135,0.4975781841629739,0.4972782688890388,False,-0.002196879381574701
FloR,acquired,8,0.4923484115737304,0.5023093476093003,0.5078727759407967,False,0.015524364367066334
VEB,acquired,14,0.4761717314858552,0.5010834439270906,0.504862376378673,False,0.028690644892817863
