gene_name,site,category,mut_auroc,mut_auroc_sd,mut_auprc,mut_auprc_sd,n_determinants,n_genomes_with_determinant,embeddable,is_causal,is_rrna,is_noncoding
__ALL_CARD__,__ALL_CARD__,all,0.958367246269577,0.0016875830252572346,0.9668348686479123,0.0009948787420177776,19,1992,False,False,False,False
KPC,KPC,acquired_hgt,0.738241460106055,0.0,0.8070257317872845,1.1491900087240784e-16,1,651,True,True,False,False
OXA,OXA,acquired_hgt,0.6669256381797999,2.298380017448157e-16,0.7282096204840387,2.298380017448157e-16,1,1214,True,True,False,False
NDM,NDM,acquired_hgt,0.6420150450117154,0.0,0.7366015976740902,1.1491900087240784e-16,1,382,True,True,False,False
CTX-M,CTX-M,acquired_hgt,0.5644345788629918,0.0,0.6666967590502841,2.298380017448157e-16,1,1028,True,True,False,False
VEB,VEB,acquired_hgt,0.5387100752250584,2.298380017448157e-16,0.6524648238329889,2.298380017448157e-16,1,44,True,False,False,False
TEM,TEM,acquired_hgt,0.5334073251942286,0.0,0.6501389097164278,1.1491900087240784e-16,1,1156,True,False,False,False
OmpK36,OmpK36,porin_truncation,0.5260451350351458,2.298380017448157e-16,0.6504378441816379,1.1491900087240784e-16,1,1967,False,True,False,True
OmpK35,OmpK35,porin_truncation,0.5246639536317674,2.298380017448157e-16,0.649017483674882,1.1491900087240784e-16,1,1975,False,True,False,True
SHV-OKP-LEN,SHV-OKP-LEN,chromosomal_coding,0.5227771611789371,1.1491900087240784e-16,0.647745622539457,1.1491900087240784e-16,1,1962,True,False,False,False
SCO,SCO,acquired_hgt,0.5037735849056605,1.1491900087240784e-16,0.6367337726821342,0.0,1,19,True,False,False,False
CMY,CMY,acquired_hgt,0.49959140050150047,0.0008015631343793487,0.6337976977213508,0.0003621618194776361,1,36,True,False,False,False
DHA,DHA,acquired_hgt,0.4989887779010973,2.298380017448157e-16,0.6335023327440487,0.0,1,29,True,False,False,False
LAP,LAP,acquired_hgt,0.49392280182513254,0.005831885583535909,0.6318584329754416,0.0024290703111097575,1,62,True,False,False,False
