gene,source,n_carriers,esm_lr_auroc,frozen_lr_auroc,ft_lr_auroc,is_causal,delta_ft_minus_esm
zraR,bakta_nonamr,560,0.81805195964646,0.7983550575841443,0.9183443442549772,False,0.1002923846085172
lpoA,bakta_nonamr,562,0.8124609409874117,0.8169248281403446,0.9058900990982948,False,0.09342915811088304
comEC,bakta_nonamr,559,0.8103740737434157,0.8344567449334881,0.9195384340683868,False,0.10916436032497101
thiK,bakta_nonamr,562,0.8049727702883671,0.8184648692081065,0.9206655655745022,False,0.11569279528613508
gspJ,bakta_nonamr,562,0.7963351486474421,0.7843384519239354,0.9074970984733506,False,0.11116194982590843
ParC,chromosomal,557,0.7943001796504983,0.8198362147406735,0.951774340309372,False,0.15747416065887376
ftsK,bakta_nonamr,562,0.7934447817159181,0.8105191500758862,0.9152642621194536,False,0.12181948040353541
rbbA,bakta_nonamr,561,0.7916815462905099,0.7301245424515669,0.9264016605660208,False,0.1347201142755109
bcsC,bakta_nonamr,561,0.7890590125881617,0.7998950986519061,0.9403289884831711,False,0.15126997589500946
treR,bakta_nonamr,562,0.7864141594500491,0.7558142130166949,0.9156436925274528,False,0.1292295330774037
pulA,bakta_nonamr,547,0.784628604588876,0.7788590304437104,0.926167306490492,False,0.141538701901616
rne,bakta_nonamr,560,0.7840594589768771,0.7933778234086243,0.9106664583519328,False,0.1266069993750557
entF,bakta_nonamr,558,0.7838139451834658,0.7652664940630299,0.8987478796536024,False,0.11493393447013656
pgaB,bakta_nonamr,557,0.7835126328006428,0.7379363449691992,0.906805195964646,False,0.12329256316400328
tssH,bakta_nonamr,528,0.7825640567806446,0.7711811445406661,0.9198732256048568,False,0.1373091688242123
hrpB,bakta_nonamr,560,0.7819949111686457,0.8110771359700029,0.9023859476832428,False,0.12039103651459704
GyrA,chromosomal,562,0.7710389398287488,0.8178763911247987,0.9453349198572129,False,0.17429598002846403
OmpK35,chromosomal,556,0.7470660973845686,0.8177130724901426,0.933109353491519,True,0.18604325610695038
AAC(6'),acquired,312,0.7365787079162875,0.7422365320454493,0.7496325330720235,False,0.013053825155735943
CTX-M,acquired,296,0.724143160448893,0.7392501341545928,0.7491659084015772,True,0.02502274795268411
OmpK36,chromosomal,555,0.7070180350435126,0.7953150883087188,0.9183406826718928,True,0.21132264762838027
SHV-OKP-LEN,acquired,519,0.6969972702456779,0.8270922283661136,0.94379505844474,True,0.24679778819906206
TEM,acquired,224,0.6564475863838921,0.663528615757915,0.6961690114556357,True,0.03972142507174359
OXA,acquired,231,0.6559926273302071,0.6879680828725415,0.6915144303679336,True,0.03552180303772645
PmrB,chromosomal,562,0.6539394787802432,0.8291920393831221,0.921000443293437,False,0.26706096451319383
Sul,acquired,292,0.6522129674995916,0.660273908681552,0.7536571708546231,False,0.10144420335503157
KPC,acquired,165,0.6320431161195492,0.6345862205734818,0.6351461701780173,True,0.0031030540584681132
Cat,acquired,176,0.6313431791138797,0.6393574578287954,0.6370709969436084,False,0.005727817829728643
AAC(3),acquired,194,0.6226522946268169,0.6195842374186323,0.6404656914211054,False,0.017813396794288505
StrB,acquired,183,0.6165161802104477,0.6317164788502367,0.6598072840111056,False,0.043291103800657815
Dfr,acquired,227,0.6160612211567625,0.6202841744243017,0.6372693124285481,False,0.02120809127178558
StrA,acquired,177,0.6031823802524439,0.638155899302396,0.6553743496418655,False,0.05219196938942161
MphA,acquired,174,0.6025057744802967,0.590128555096708,0.6034740206714728,False,0.0009682461911760809
QnrB,acquired,130,0.5993793891883064,0.5981195025781013,0.6018524999416719,False,0.002473110753365537
Mrx,acquired,169,0.5979095214764004,0.5767364270548985,0.5987727771167262,False,0.0008632556403257441
ANT(3''),acquired,215,0.5870255010382398,0.5732017451762674,0.6738760178250623,False,0.08685051678682254
APH(3'),acquired,118,0.5624227152889574,0.561664450199482,0.5577681342012553,False,-0.004654581087702114
NDM,acquired,70,0.5442010219080283,0.5490305872471478,0.5623527215883904,True,0.01815169968036212
Arr,acquired,78,0.5427428198128835,0.5426728261123166,0.5459158675719186,False,0.0031730477590350414
ArmA,acquired,39,0.5299223069923706,0.5306689064650848,0.5306689064650848,False,0.00074659947271416
TetA,acquired,133,0.5291640419028953,0.5481906628403443,0.5703086722195003,False,0.04114463031660498
QnrS,acquired,75,0.5269592403350365,0.5447609715125639,0.5462075079909475,False,0.019248267655911033
MsrE,acquired,27,0.5132171437903922,0.5133804624250484,0.51349711859266,False,0.0002799748022678239
MphE,acquired,27,0.5131121532395417,0.5132404750239146,0.5135204498261823,False,0.00040829658664054413
ANT(2''),acquired,19,0.5108840204381606,0.5108840204381606,0.5108840204381606,False,0.0
CmlA,acquired,37,0.5107556986537878,0.5125405380182451,0.5251160728867735,False,0.014360374232985751
VEB,acquired,15,0.5104173957677143,0.5104173957677143,0.5104173957677143,True,0.0
LAP,acquired,13,0.5091108466904646,0.5091108466904646,0.5091108466904646,False,0.0
CMY,acquired,9,0.5031263852919904,0.5031263852919904,0.5031263852919904,True,0.0
RmtB,acquired,26,0.5012832178437274,0.527437530622244,0.5274841930892886,False,0.026200975245561198
FloR,acquired,30,0.500886586873848,0.5056928209794452,0.5159119012622198,False,0.015025314388371735
APH(4),acquired,19,0.4999183406826719,0.5000583280838058,0.5001516530178951,False,0.0002333123352232236
TetD,acquired,87,0.477648678285621,0.4909474813933413,0.5747766034390238,False,0.0971279251534028
